SXS_Sim_No	Res_Level	Mtot(Msun)	Q	f0(geom)	chi1x	chi1y	chi1z	chi2x	chi2y	chi2z
764	3	51.494825016875254	1.000063258682518	0.005072745969651117	-0.54986096619	-0.579407417993	-0.0409157819319	0.552232831838	-0.571573117732	0.0907471149495
767	3	51.25811736332569	1.000023300242485	0.0050494279411864	-0.566317770524	-0.563549121655	0.0381364309071	0.21369197229	0.770304668023	-0.0285993406415
838	3	51.49041695719477	1.0000634606846404	0.005072311732483192	-0.564118388332	-0.565486093977	-0.0415741562078	0.551966908144	-0.571928943695	0.0901271861471
841	3	51.26208584249321	1.000023426653502	0.005049818875356893	-0.579348812221	-0.550018379288	0.0398642486313	0.213274809431	0.770378871982	-0.0296560127128
925	3	51.65301266187637	1.0000487411946706	0.005088329006167214	-0.763305532293	-0.219486421255	0.0944355520028	-0.258871795981	0.755982462094	-0.0372875337189
935	3	51.326385121250766	1.000030920754201	0.00505615298576628	-0.77694285443	-0.187577598818	-0.0297759187916	0.762699584386	-0.238020168699	0.03776087285
965	3	51.670825417494385	1.0000555390377333	0.0050900837375259505	-0.761184954395	-0.224394148794	0.0999280549914	-0.586341659051	0.54384606356	-0.0179892939419
982	3	51.323385726202375	1.000056764695956	0.005055857515898422	-0.773813416218	-0.196843839199	-0.046575604564	0.536078489679	-0.589607940778	0.0698670010103
1205	3	51.352301881753874	1.0000244589609775	0.005058706041191663	-0.819491457468	-0.208903744763	0.0829870086656	0.222710329862	0.81862150287	-0.0501345516636
1217	3	51.80856707625096	1.0000058036709236	0.00510365264360693	0.609302689197	-0.589940169621	0.0556284092394	0.573291521505	-0.555421797684	0.0524292856117
716	3	53.55626853208194	1.9995769670810157	0.005275818400327427	-0.670299926013	-0.433588424818	0.0531060180501	-0.642542168412	-0.470451086964	0.0727026621517
717	3	53.6839236333691	1.9997928305977681	0.005288393681442522	-0.679858843853	-0.418077265788	0.0556909643534	-0.117440072305	0.786728971839	-0.0842738612247
812	3	53.454273777114565	2.0000784489171175	0.005265770915322542	-0.69717132256	0.39204508535	0.0128180460773	0.733112670458	-0.319499654237	-0.0181018757094
814	3	53.87193378376084	1.9999467155282755	0.005306914527611835	-0.704644112988	0.368854851236	0.0853835430687	-0.137381887348	0.787019580186	-0.0392167106872
926	3	53.53147159064222	2.0001058584410845	0.005273375658076983	-0.676068766378	-0.421149946137	0.0728064783827	-0.507131075658	0.613547827167	-0.0790591015219
936	3	53.543741841542726	1.9999975073489715	0.005274584398290815	-0.683215576861	-0.415658934852	-0.0128916021035	0.794687295551	0.0783816356638	0.0428041648269
966	3	53.08513935388826	2.0000888857950407	0.0052294075495461344	-0.706498816287	-0.36963308019	0.0628011521505	-0.675436469278	0.423711422738	-0.0630698251582
976	3	53.398192661618246	1.9998327020676385	0.0052602463747009505	-0.692677491764	-0.39902836728	0.0304983156417	0.351608415444	0.716334227689	-0.0542299079248
1197	3	52.65843164205249	1.9999931333759924	0.005187372649442588	-0.780074412145	-0.335139727344	-0.0373748048202	0.647953610081	-0.540244425714	0.102105877934
1200	3	53.63147934812569	1.999623316459372	0.0052832274043163735	-0.706809790987	-0.468033441211	0.0612508247398	-0.676670467725	-0.50665617279	0.0844340709739
1916	3	58.281061559605426	4.000455493748122	0.005741256913419784	0.271473618505	0.751660271456	0.0350829341674	0.501599968682	-0.611301422021	-0.121559623429
1921	3	58.998490095967654	3.9994214400526116	0.005811930669766205	-0.777660111546	-0.184936221948	0.033243477407	0.742581742426	0.293929836603	-0.0393342969422
1922	3	58.2965498545661	4.00022541767641	0.005742782662576379	0.793766894542	-0.0984703194322	0.0156964387014	-0.494911244081	0.623564244698	0.0793352182674
1923	3	59.11694812550324	3.999885496456768	0.005823599948993827	-0.793437002415	0.0441008434661	0.0916725172015	-0.750279495989	0.276134646948	0.0216823606768
2000	3	59.76605037110301	3.999108586390844	0.005887542894701064	-0.402084210588	0.686510313244	0.0837041194096	0.449772011302	0.652159375868	-0.107538290068
2004	3	58.15713828543219	3.9999213527814717	0.005729049253923859	-0.274283523001	-0.751051400887	0.0229660549412	-0.215585910023	0.765235289804	-0.0882312395543
2070	3	58.385530594606564	3.9997366330300004	0.00575154813930669	-0.754830852156	-0.265037359291	0.00704493707451	0.783781321053	-0.150244986013	0.0518141631143
2074	3	59.07651556229003	4.000047866163374	0.005819616944448898	-0.664488960312	0.439107032588	0.0734743491151	-0.744592518429	0.275720801769	0.0956879665158
2075	3	58.577286992454226	3.999150278401003	0.005770438027640473	-0.077554668669	-0.795056794354	0.0440268905335	-0.592571581243	-0.531799348423	-0.0730644736145
2079	3	58.9254381291261	3.999856566996062	0.005804734333624676	-0.394995624807	-0.694486033015	0.0381712909365	-0.312389796555	0.726327078439	-0.120929013811
